,nama_brand,nama_produk,nama_sub_produk,rating_produk,total_review,nama_produk_lengkap
616,HINT,Naked EDP,,4.8,8,Naked EDP
617,Narciso Rodriguez,Narciso Ambree,,4.4,8,Narciso Ambree
618,Calvin Klein,Calvin Klein IN2U for Her,Calvin Klein IN2U For Women for Her,4.8,8,Calvin Klein IN2U for Her Calvin Klein IN2U For Women for Her
619,Cartier,cartier la panthere,,4.6,8,cartier la panthere
620,Thierry Mugler,Aura Mugler,,4.4,8,Aura Mugler
621,Chanel,Chance Eau Tendre EDP,,5.0,8,Chance Eau Tendre EDP
622,Victoria's Secret,Crush EDP,,3.9,8,Crush EDP
623,Evangeline,Premium Eau De Parfum,Candy World,4.8,8,Premium Eau De Parfum Candy World
624,Lancome,Idole Nectar Eau de Parfum,,4.9,8,Idole Nectar Eau de Parfum
625,Estee Lauder,Beautiful Eau de Perfume Spray,,4.6,8,Beautiful Eau de Perfume Spray
626,Morris,Eau De Parfum Frosted Edition,Eternal Glacier,4.9,8,Eau De Parfum Frosted Edition Eternal Glacier
627,Buttonscarves Beauty,Eau De Perfume,Venice,3.9,8,Eau De Perfume Venice
628,Victoria's Secret,Scandalous EDP,,5.0,8,Scandalous EDP
629,Scentcode,Eau de Perfume,01 Sexy Scene,5.0,8,Eau de Perfume 01 Sexy Scene
630,Carolina Herrera,CH Eau de Parfum Sublime,,4.1,8,CH Eau de Parfum Sublime
631,Molto,Eau de Parfum,,3.4,8,Eau de Parfum
632,Katy Perry,Royal Revolution,,4.38,8,Royal Revolution
633,Lancome,hypnose,,4.1,8,hypnose
634,MS Glow,Revival Eau de Perfume,,4.88,8,Revival Eau de Perfume
635,LA RIVE,Cash Woman,,4.1,8,Cash Woman
636,Buttonscarves Beauty,Eau de Parfume,Jedda,4.1,8,Eau de Parfume Jedda
637,Guess,Seductive Eau de Parfum,,4.5,8,Seductive Eau de Parfum
638,Layr Fragrance,Extrait De Parfum,Velvet Dream,4.0,8,Extrait De Parfum Velvet Dream
639,Ready Set Perfumery,Signature Collection EDP,Koriko 1950,4.0,8,Signature Collection EDP Koriko 1950
640,Lalique,Amethyst,,3.4,8,Amethyst
641,HINT,Delicate Topper EDP,,4.8,8,Delicate Topper EDP
642,Teratu Beauty,Body & the Scents of Teratu Beauty EDP,Early Meeting,4.5,8,Body & the Scents of Teratu Beauty EDP Early Meeting
643,Paquito,Lys de France Eau De Parfume,,4.5,8,Lys de France Eau De Parfume
644,Never Not Official,Petite Avenue,,4.6,8,Petite Avenue
645,Astree Parfumerie,1750 EDP,,4.9,8,1750 EDP
646,Hugo Boss,NUIT Pour Femme,White Floral,4.25,8,NUIT Pour Femme White Floral
647,Guerlain,Idylle Women,,4.13,8,Idylle Women
648,Rihanna,Nude,Sweet Floral,4.8,8,Nude Sweet Floral
649,Victoria's Secret,Love Me EDP,,4.6,8,Love Me EDP
650,One Direction,Our moment,,4.6,8,Our moment
651,LUSH,Lust - Gorilla Perfume,,4.8,8,Lust - Gorilla Perfume
652,La Collina Toscana,Poggio in Fiore,,4.1,8,Poggio in Fiore
653,USUAL/SCENTLAB,Eau de Perfume,Blush,4.8,8,Eau de Perfume Blush
654,Buttonscarves Beauty,Eau de Parfume,Cairo,4.8,8,Eau de Parfume Cairo
655,Morris,Eau De Parfum Travel Edition,Paris,4.9,8,Eau De Parfum Travel Edition Paris
656,Morris,Morris Tropical Edition,Paradise,4.5,8,Morris Tropical Edition Paradise
657,Personal Chemistry,Velvet Kiss,,4.8,8,Velvet Kiss
658,Evangeline,Eau De Perfume Bloom Series,Vera,4.5,8,Eau De Perfume Bloom Series Vera
